onset	duration	trial_type
10.008022069931	17.9999215602875	speaking
38.0078778266907	17.9999258518219	speaking
66.007762670517	17.9999091625214	speaking
94.0076138973236	17.9999339580536	speaking
122.007493019104	17.9999387264252	hearing
150.007380008698	17.9999430179596	hearing
178.007273674011	17.9999461174011	speaking
206.007173776627	17.999950170517	hearing
234.007080793381	17.9999520778656	hearing
262.006992816925	17.9999558925629	hearing
290.006911039352	18.0008137226105	speaking
318.009073019028	17.984849691391	hearing
346.011875629425	17.9847793579102	speaking
374.01454782486	17.9847121238708	hearing
