onset	duration	trial_type
10.0156061649323	17.9821751117706	speaking
38.0134422779083	17.9821779727936	speaking
66.0112838745117	17.9821794033051	speaking
94.0091292858124	17.9988467693329	speaking
122.006978034973	17.998850107193	hearing
150.00483083725	17.9988510608673	hearing
178.002688169479	17.9988527297974	speaking
206.017212867737	17.9821903705597	hearing
234.015075922012	17.9821910858154	hearing
262.012942075729	17.9821929931641	hearing
290.010810852051	17.9821944236755	speaking
318.008683204651	17.9988608360291	hearing
346.006556987762	17.9988620281219	speaking
374.004434108734	17.9988627433777	hearing
