onset	duration	trial_type
10.0087733268738	17.998987197876	speaking
38.0068836212158	17.9856789112091	speaking
66.0112931728363	17.9855511188507	speaking
94.0153064727783	17.9852600097656	speaking
122.0187895298	17.9849967956543	hearing
150.005126476288	18.0014319419861	hearing
178.007705211639	17.9845530986786	hearing
206.009901285172	17.9843652248383	speaking
234.011754512787	17.9842138290405	hearing
262.013300180435	17.9840450286865	speaking
290.014570474625	17.9839098453522	hearing
318.015594244003	17.9837882518768	hearing
346.016396522522	17.9836800098419	speaking
374.017000198364	17.9835820198059	hearing
