onset	duration	trial_type
10.0101783275604	17.9824707508087	speaking
38.0085711479187	17.9991471767426	hearing
66.0069832801819	17.9991579055786	hearing
94.0054159164429	17.999165058136	hearing
122.003863096237	17.9991769790649	hearing
150.018994092941	17.9825189113617	speaking
178.017475366592	17.9825255870819	speaking
206.015969991684	17.9825353622437	hearing
234.014480352402	17.9825417995453	speaking
262.013003349304	17.9825479984283	speaking
290.011538982391	17.9825553894043	speaking
318.010087251663	17.9825596809387	hearing
346.008645057678	17.999233007431	speaking
374.007215261459	17.9992380142212	hearing
