onset	duration	trial_type
10.0165810585022	17.9827380180359	speaking
38.0154812335968	17.9827456474304	hearing
66.0143792629242	17.98273396492	hearing
94.0132539272308	17.9827220439911	hearing
122.012108325958	17.9827105998993	hearing
150.010942220688	17.9827008247375	speaking
178.009756326675	17.9826905727386	speaking
206.008552312851	17.9993476867676	hearing
234.00733089447	17.9993402957916	speaking
262.006094932556	17.999330997467	speaking
290.004842042923	17.9993228912354	speaking
318.003575325012	17.9993159770966	hearing
346.002295255661	17.9993088245392	speaking
374.017667293549	17.9826357364655	hearing
