onset	duration	trial_type
10.0137844085693	17.9873161315918	speaking
38.0040104389191	18.002824306488	speaking
66.0088956356049	17.9853999614716	speaking
94.0125246047974	17.9849178791046	speaking
122.015335559845	17.9846069812775	hearing
150.01761841774	17.9848592281342	hearing
178.003830432892	18.0014851093292	hearing
206.006541490555	17.9846861362457	speaking
234.00902056694	17.9845809936523	hearing
262.011312484741	17.9844961166382	speaking
290.013454437256	17.9844291210175	hearing
318.015476465225	17.984375	hearing
346.017402648926	17.9843308925629	speaking
374.002582550049	18.000962972641	hearing
