onset	duration	trial_type
10.002982378006	17.9992051124573	speaking
38.018164396286	17.9825422763824	hearing
66.0166864395142	17.9825441837311	hearing
94.0152125358582	17.9825468063354	hearing
122.013743400574	17.9825501441956	hearing
150.012278318405	17.9825510978699	speaking
178.010817527771	17.9825527667999	speaking
206.00935959816	17.9825549125671	hearing
234.007905483246	17.9992229938507	speaking
262.006455421448	17.999223947525	speaking
290.005007505417	17.9992260932922	speaking
318.003562688828	17.9992287158966	hearing
346.002121686935	17.9992277622223	speaking
374.017348766327	17.9825637340546	hearing
