set	run	event	block	trial	condition	sequence	onset_s
set2	1	pre_fix	0	NaN	FIX		0.0201783180236816
set2	1	listen	1	1	speaking	carbon statue carbon	10.002982378006
set2	1	imagery	1	1	speaking	imagined_articulation.png	13.0028233528137
set2	1	listen	1	2	speaking	carbon installed carbon	16.0193295478821
set2	1	imagery	1	2	speaking	imagined_articulation.png	19.0025043487549
set2	1	listen	1	3	speaking	carbon installed statue	22.0190114974976
set2	1	imagery	1	3	speaking	imagined_articulation.png	25.0021874904633
set2	1	rest	1	NaN	REST		28.018693447113
set2	1	listen	2	1	hearing	installed installed installed	38.018164396286
set2	1	imagery	2	1	hearing	imagined_hearing.png	41.0013403892517
set2	1	listen	2	2	hearing	statue statue carbon	44.0178472995758
set2	1	imagery	2	2	hearing	imagined_hearing.png	47.0010235309601
set2	1	listen	2	3	hearing	installed statue installed	50.0175642967224
set2	1	imagery	2	3	hearing	imagined_hearing.png	53.0007066726685
set2	1	rest	2	NaN	REST		56.0172135829926
set2	1	listen	3	1	hearing	statue carbon carbon	66.0166864395142
set2	1	imagery	3	1	hearing	imagined_hearing.png	68.9998624324799
set2	1	listen	3	2	hearing	installed installed installed	72.0163702964783
set2	1	imagery	3	2	hearing	imagined_hearing.png	74.9995467662811
set2	1	listen	3	3	hearing	installed carbon installed	78.016054391861
set2	1	imagery	3	3	hearing	imagined_hearing.png	80.9992306232452
set2	1	rest	3	NaN	REST		84.0157384872437
set2	1	listen	4	1	hearing	statue statue installed	94.0152125358582
set2	1	imagery	4	1	hearing	imagined_hearing.png	96.9983897209167
set2	1	listen	4	2	hearing	carbon carbon installed	100.014897346497
set2	1	imagery	4	2	hearing	imagined_hearing.png	102.998074531555
set2	1	listen	4	3	hearing	carbon carbon installed	106.014582633972
set2	1	imagery	4	3	hearing	imagined_hearing.png	108.997759342194
set2	1	rest	4	NaN	REST		112.014267683029
set2	1	listen	5	1	hearing	installed carbon statue	122.013743400574
set2	1	imagery	5	1	hearing	imagined_hearing.png	124.996920585632
set2	1	listen	5	2	hearing	statue installed statue	128.013429403305
set2	1	imagery	5	2	hearing	imagined_hearing.png	130.996606349945
set2	1	listen	5	3	hearing	carbon statue installed	134.013115406036
set2	1	imagery	5	3	hearing	imagined_hearing.png	136.996293544769
set2	1	rest	5	NaN	REST		140.012801408768
set2	1	listen	6	1	speaking	installed carbon carbon	150.012278318405
set2	1	imagery	6	1	speaking	imagined_articulation.png	152.995455741882
set2	1	listen	6	2	speaking	statue installed statue	156.011965751648
set2	1	imagery	6	2	speaking	imagined_articulation.png	158.995142459869
set2	1	listen	6	3	speaking	statue carbon statue	162.011651754379
set2	1	imagery	6	3	speaking	imagined_articulation.png	164.994829416275
set2	1	rest	6	NaN	REST		168.011338472366
