set	run	event	block	trial	condition	sequence	onset_s
set1	1	pre_fix	0	NaN	FIX		0.0163559913635254
set1	1	listen	1	1	speaking	installed installed statue	10.0191676616669
set1	1	imagery	1	1	speaking	imagined_articulation.png	13.0032498836517
set1	1	listen	1	2	speaking	installed carbon statue	16.0039658546448
set1	1	imagery	1	2	speaking	imagined_articulation.png	19.0046508312225
set1	1	listen	1	3	speaking	statue carbon installed	22.0053057670593
set1	1	imagery	1	3	speaking	imagined_articulation.png	25.0059549808502
set1	1	rest	1	NaN	REST		28.0065379142761
set1	1	listen	2	1	speaking	installed statue installed	38.0084018707275
set1	1	imagery	2	1	speaking	imagined_articulation.png	40.992253780365
set1	1	listen	2	2	speaking	installed carbon installed	44.0083968639374
set1	1	imagery	2	2	speaking	imagined_articulation.png	46.987019777298
set1	1	listen	2	3	speaking	statue carbon installed	50.0159378051758
set1	1	imagery	2	3	speaking	imagined_articulation.png	52.9953210353851
set1	1	rest	2	NaN	REST		56.0083348751068
set1	1	listen	3	1	speaking	installed installed carbon	66.0149569511414
set1	1	imagery	3	1	speaking	imagined_articulation.png	68.9958212375641
set1	1	listen	3	2	speaking	statue installed installed	72.0101969242096
set1	1	imagery	3	2	speaking	imagined_articulation.png	75.0081038475037
set1	1	listen	3	3	speaking	installed installed installed	78.0061810016632
set1	1	imagery	3	3	speaking	imagined_articulation.png	81.0044112205505
set1	1	rest	3	NaN	REST		84.0027809143066
set1	1	listen	4	1	speaking	carbon carbon statue	94.014860868454
set1	1	imagery	4	1	speaking	imagined_articulation.png	96.9970428943634
set1	1	listen	4	2	speaking	installed statue statue	100.012629985809
set1	1	imagery	4	2	speaking	imagined_articulation.png	102.994971990585
set1	1	listen	4	3	speaking	statue statue installed	106.010705947876
set1	1	imagery	4	3	speaking	imagined_articulation.png	109.009840965271
set1	1	rest	4	NaN	REST		112.009033918381
set1	1	listen	5	1	hearing	installed statue installed	122.006694793701
set1	1	imagery	5	1	hearing	imagined_hearing.png	125.006081819534
set1	1	listen	5	2	hearing	statue carbon carbon	128.005503892899
set1	1	imagery	5	2	hearing	imagined_hearing.png	131.004956960678
set1	1	listen	5	3	hearing	installed installed statue	134.004438638687
set1	1	imagery	5	3	hearing	imagined_hearing.png	137.003946781158
set1	1	rest	5	NaN	REST		140.003477811813
set1	1	listen	6	1	hearing	carbon carbon carbon	150.002059936523
