onset	trial_type	duration
10	imagine	18.0
28	rest	10.0
38	imagine	18.0
56	rest	10.0
66	imagine	18.0
84	rest	10.0
94	imagine	18.0
112	rest	10.0
122	imagine	18.0
140	rest	10.0
150	imagine	18.0
168	rest	10.0
178	imagine	18.0
196	rest	10.0
206	imagine	18.0
224	rest	10.0
234	imagine	18.0
252	rest	10.0
262	imagine	18.0
280	rest	10.0
290	imagine	18.0
308	rest	10.0
318	imagine	18.0
336	rest	10.0
346	imagine	18.0
364	rest	10.0
374	imagine	18.0
392	rest	10.0
