set	run	event	block	trial	condition	sequence	onset_s
set1	1	pre_fix	0	NaN	BLOCK		0
set1	1	listen	1	1	BLOCK	installed installed statue	10
set1	1	covert	1	1	BLOCK	installed installed statue	13
set1	1	listen	1	2	BLOCK	installed carbon statue	16
set1	1	covert	1	2	BLOCK	installed carbon statue	19
set1	1	listen	1	3	BLOCK	statue carbon installed	22
set1	1	covert	1	3	BLOCK	statue carbon installed	25
set1	1	rest	1	NaN	BLOCK		28
set1	1	listen	2	1	BLOCK	installed statue installed	38
set1	1	covert	2	1	BLOCK	installed statue installed	41
set1	1	listen	2	2	BLOCK	installed carbon installed	44
set1	1	covert	2	2	BLOCK	installed carbon installed	47
set1	1	listen	2	3	BLOCK	statue carbon installed	50
set1	1	covert	2	3	BLOCK	statue carbon installed	53
set1	1	rest	2	NaN	BLOCK		56
set1	1	listen	3	1	BLOCK	installed installed carbon	66
set1	1	covert	3	1	BLOCK	installed installed carbon	69
set1	1	listen	3	2	BLOCK	statue installed installed	72
set1	1	covert	3	2	BLOCK	statue installed installed	75
set1	1	listen	3	3	BLOCK	installed installed installed	78
set1	1	covert	3	3	BLOCK	installed installed installed	81
set1	1	rest	3	NaN	BLOCK		84
set1	1	listen	4	1	BLOCK	carbon carbon statue	94
set1	1	covert	4	1	BLOCK	carbon carbon statue	97
set1	1	listen	4	2	BLOCK	installed statue statue	100
set1	1	covert	4	2	BLOCK	installed statue statue	103
set1	1	listen	4	3	BLOCK	statue statue installed	106
set1	1	covert	4	3	BLOCK	statue statue installed	109
set1	1	rest	4	NaN	BLOCK		112
set1	1	listen	5	1	BLOCK	installed statue installed	122
set1	1	covert	5	1	BLOCK	installed statue installed	125
set1	1	listen	5	2	BLOCK	statue carbon carbon	128
set1	1	covert	5	2	BLOCK	statue carbon carbon	131
set1	1	listen	5	3	BLOCK	installed installed statue	134
set1	1	covert	5	3	BLOCK	installed installed statue	137
set1	1	rest	5	NaN	BLOCK		140
set1	1	listen	6	1	BLOCK	carbon carbon carbon	150
set1	1	covert	6	1	BLOCK	carbon carbon carbon	153
set1	1	listen	6	2	BLOCK	installed installed statue	156
set1	1	covert	6	2	BLOCK	installed installed statue	159
set1	1	listen	6	3	BLOCK	installed carbon statue	162
set1	1	covert	6	3	BLOCK	installed carbon statue	165
set1	1	rest	6	NaN	BLOCK		168
set1	1	listen	7	1	BLOCK	statue carbon installed	178
set1	1	covert	7	1	BLOCK	statue carbon installed	181
set1	1	listen	7	2	BLOCK	carbon carbon statue	184
set1	1	covert	7	2	BLOCK	carbon carbon statue	187
set1	1	listen	7	3	BLOCK	installed statue carbon	190
set1	1	covert	7	3	BLOCK	installed statue carbon	193
set1	1	rest	7	NaN	BLOCK		196
set1	1	listen	8	1	BLOCK	installed installed installed	206
set1	1	covert	8	1	BLOCK	installed installed installed	209
set1	1	listen	8	2	BLOCK	carbon statue statue	212
set1	1	covert	8	2	BLOCK	carbon statue statue	215
set1	1	listen	8	3	BLOCK	statue installed statue	218
set1	1	covert	8	3	BLOCK	statue installed statue	221
set1	1	rest	8	NaN	BLOCK		224
set1	1	listen	9	1	BLOCK	installed statue installed	234
set1	1	covert	9	1	BLOCK	installed statue installed	237
set1	1	listen	9	2	BLOCK	carbon statue statue	240
set1	1	covert	9	2	BLOCK	carbon statue statue	243
set1	1	listen	9	3	BLOCK	carbon carbon carbon	246
set1	1	covert	9	3	BLOCK	carbon carbon carbon	249
set1	1	rest	9	NaN	BLOCK		252
set1	1	listen	10	1	BLOCK	installed carbon carbon	262
set1	1	covert	10	1	BLOCK	installed carbon carbon	265
set1	1	listen	10	2	BLOCK	installed statue installed	268
set1	1	covert	10	2	BLOCK	installed statue installed	271
set1	1	listen	10	3	BLOCK	installed carbon carbon	274
set1	1	covert	10	3	BLOCK	installed carbon carbon	277
set1	1	rest	10	NaN	BLOCK		280
set1	1	listen	11	1	BLOCK	statue statue carbon	290
set1	1	covert	11	1	BLOCK	statue statue carbon	293
set1	1	listen	11	2	BLOCK	installed installed statue	296
set1	1	covert	11	2	BLOCK	installed installed statue	299
set1	1	listen	11	3	BLOCK	carbon carbon statue	302
set1	1	covert	11	3	BLOCK	carbon carbon statue	305
set1	1	rest	11	NaN	BLOCK		308
set1	1	listen	12	1	BLOCK	carbon statue installed	318
set1	1	covert	12	1	BLOCK	carbon statue installed	321
set1	1	listen	12	2	BLOCK	statue carbon statue	324
set1	1	covert	12	2	BLOCK	statue carbon statue	327
set1	1	listen	12	3	BLOCK	carbon statue carbon	330
set1	1	covert	12	3	BLOCK	carbon statue carbon	333
set1	1	rest	12	NaN	BLOCK		336
set1	1	listen	13	1	BLOCK	installed installed carbon	346
set1	1	covert	13	1	BLOCK	installed installed carbon	349
set1	1	listen	13	2	BLOCK	statue statue installed	352
set1	1	covert	13	2	BLOCK	statue statue installed	355
set1	1	listen	13	3	BLOCK	statue installed carbon	358
set1	1	covert	13	3	BLOCK	statue installed carbon	361
set1	1	rest	13	NaN	BLOCK		364
set1	1	listen	14	1	BLOCK	installed statue carbon	374
set1	1	covert	14	1	BLOCK	installed statue carbon	377
set1	1	listen	14	2	BLOCK	statue installed statue	380
set1	1	covert	14	2	BLOCK	statue installed statue	383
set1	1	listen	14	3	BLOCK	installed installed installed	386
set1	1	covert	14	3	BLOCK	installed installed installed	389
set1	1	rest	14	NaN	BLOCK		392
